Type,Name-Entity
ORGANIZATION,University of California
LOCATION,California
LOCATION,United States
0,0
PERSON      ,Rami Eid
ORGANIZATION,Stony Brook University
LOCATION,NY.
0,0
LOCATION,France
PERSON      ,Christine Lagarde
ORGANIZATION,Wall Street Journal
0,0
LOCATION    ,China.
0,0
LOCATION,Europen
ORGANIZATION,Google
0,0
PERSON,Mark
PERSON,John
ORGANIZATION,Google
0,0
PERSON      ,Leland
PERSON      ,Jane Stanford
PERSON      ,Leland Stanford Jr.
0,0
PERSON      ,Stanford
LOCATION    ,California
LOCATION    ,U.S.
0,0
ORGANIZATION,The University of Gothenburg
0,0
ORGANIZATION,Columbia University
0,0
ORGANIZATION,New York University
LOCATION,American
0,0
ORGANIZATION,Higher Achievement
0,0
PERSON,Alice Jones
ORGANIZATION,Bank of America
0,0
ORGANIZATION,YouTube 
LOCATION,American 
LOCATION,San Bruno
LOCATION,California.
0,0
PERSON,Stephen Curry
LOCATION,American 
ORGANIZATION,Golden State Warriors
ORGANIZATION,National Basketball Association (NBA)
